Who plays the doctor in dexter season 1,Tony Goldwyn
When was the first remote control tv invented,1950
Why did the st louis cardinals move to arizona,mediocrity of the Cardinals
When was the first airline meal served during a flight,October 1919
Who is the 2nd chairman of african union commission,Jean Ping
Who became the chairman of african union commission in 2017,Moussa Faki Mahamat
Who became the chairman of african union commission in 2012,Nkosazana Clarice Dlamini-Zuma
Who won the Final HoH in the American reality show Big Brother 20,Kaycee Clark
Who won the final vote in the British Reality show Celebrity Big Brother 20,Sarah Harding
Who is the prime minister of england 2018,Theresa May
